City,Country,Continent,Population (2024),Population (2023),Growth Rate
Taizhou Jiangsu,China,Asia,1477600,1446810,0.0213
Chon Buri,Thailand,Asia,1472709,1454222,0.0127
Jiaxing,China,Asia,1470917,1424982,0.0322
Weihai,China,Asia,1465926,1429315,0.0256
Hai Phong,Vietnam,Asia,1463650,1422974,0.0286
Taian Shandong,China,Asia,1441911,1416064,0.0183
Kaifeng,China,Asia,1434463,1398262,0.0259
Konya,Turkey,Asia,1429935,1407632,0.0158
Liuyang,China,Asia,1428802,1373523,0.0402
Liuan,China,Asia,1427894,1378077,0.0361
Rizhao,China,Asia,1426583,1391258,0.0254
Dhanbad,India,Asia,1414532,1389776,0.0178
Nanchong,China,Asia,1412714,1377572,0.0255
Dongying,China,Asia,1410791,1379377,0.0228
Zunyi,China,Asia,1406091,1376453,0.0215
Zhanjiang,China,Asia,1399310,1371998,0.0199
Shiyan,China,Asia,1387377,1354025,0.0246
Taizhong,Taiwan,Asia,1381855,1369066,0.0093
Bareilly,India,Asia,1380715,1348664,0.0238
Suweon,South Korea,Asia,1378229,1365352,0.0094
Mianyang Sichuan,China,Asia,1376449,1351383,0.0185
Samut Prakan,Thailand,Asia,1376146,1358871,0.0127
Qom,Iran,Asia,1373800,1354174,0.0145
Antalya,Turkey,Asia,1372400,1347240,0.0187
Tengzhou,China,Asia,1360779,1322916,0.0286
Yingkou,China,Asia,1355564,1323174,0.0245
Ad Dammam,Saudi Arabia,Asia,1352912,1329291,0.0178
Suzhou,China,Asia,1349994,1310433,0.0302
Aligarh,India,Asia,1346018,1312369,0.0256
Moradabad,India,Asia,1335966,1301740,0.0263
Pekan Baru,Indonesia,Asia,1334532,1303355,0.0239
Maoming,China,Asia,1333930,1303900,0.023
Astana,Kazakhstan,Asia,1324111,1291280,0.0254
Jieyang,China,Asia,1320779,1282479,0.0299
Fushun Liaoning,China,Asia,1317276,1304565,0.0097
Mysore,India,Asia,1316461,1288245,0.0219
Ruian,China,Asia,1314784,1281790,0.0257
Ahvaz,Iran,Asia,1309372,1293619,0.0122
Kazan,Russia,Asia,1296232,1291884,0.0034
Jinhua,China,Asia,1296065,1257941,0.0303
Baoji,China,Asia,1290231,1261077,0.0231
Durg Bhilainagar,India,Asia,1289673,1266034,0.0187
Bhubaneswar,India,Asia,1289254,1257642,0.0251
Pingdingshan Henan,China,Asia,1285750,1256581,0.0232
Puning,China,Asia,1282756,1254160,0.0228
Chifeng,China,Asia,1279544,1252414,0.0217
Zhuzhou,China,Asia,1277238,1254519,0.0181
Zhenjiang Jiangsu,China,Asia,1275395,1250668,0.0198
Liupanshui,China,Asia,1272872,1230644,0.0343
Islamabad,Pakistan,Asia,1266792,1232447,0.0279
Huaibei,China,Asia,1264856,1236271,0.0231
Tasikmalaya,Indonesia,Asia,1258124,1213778,0.0365
Bogor,Indonesia,Asia,1256155,1231445,0.0201
Da Nang,Vietnam,Asia,1253228,1220634,0.0267
Nizhniy Novgorod,Russia,Asia,1250302,1251332,-0.0008
Nanyang Henan,China,Asia,1250300,1224629,0.021
Xiangtan Hunan,China,Asia,1249380,1223912,0.0208
Pizhou,China,Asia,1247177,1207275,0.0331
Tiruchirappalli,India,Asia,1244978,1221960,0.0188
Chelyabinsk,Russia,Asia,1243883,1240926,0.0024
Luohe,China,Asia,1241152,1197935,0.0361
Xiongan,China,Asia,1240158,1183042,0.0483
Chandigarh,India,Asia,1239699,1214775,0.0205
Jinzhou,China,Asia,1238377,1215376,0.0189
Benxi,China,Asia,1237550,1216852,0.017
Binzhou,China,Asia,1233584,1200222,0.0278
Chiang Mai,Thailand,Asia,1228773,1213348,0.0127
Bazhong,China,Asia,1225591,1175989,0.0422
Quetta,Pakistan,Asia,1221495,1190348,0.0262
Guilin,China,Asia,1218067,1196841,0.0177
Saharanpur,India,Asia,1207856,1171689,0.0309
Hubli Dharwad,India,Asia,1205428,1181194,0.0205
Yueqing,China,Asia,1201400,1169864,0.027
Guwahati,India,Asia,1199455,1176330,0.0197
Salem,India,Asia,1194757,1169953,0.0212
Haifa,Israel,Asia,1186475,1174429,0.0103
Bandar Lampung,Indonesia,Asia,1186233,1162242,0.0206
Shimkent,Kazakhstan,Asia,1181020,1155073,0.0225
Omsk,Russia,Asia,1180677,1180745,-0.0001
Krasnoyarsk,Russia,Asia,1173095,1166792,0.0054
Xinxiang,China,Asia,1160840,1140599,0.0177
Siliguri,India,Asia,1159371,1126249,0.0294
Wenling,China,Asia,1159259,1131361,0.0247
Samara,Russia,Asia,1154451,1155732,-0.0011
Zaozhuang,China,Asia,1150859,1133629,0.0152
Yongin,South Korea,Asia,1147967,1135671,0.0108
Ufa,Russia,Asia,1146786,1144799,0.0017
Fuyang,China,Asia,1146343,1120694,0.0229
Bien Hoa,Vietnam,Asia,1142997,1110824,0.029
Jalandhar,India,Asia,1142682,1118826,0.0213
Panjin,China,Asia,1142542,1120675,0.0195
Ma'anshan,China,Asia,1140264,1112680,0.0248
Rostov on Don,Russia,Asia,1139641,1138854,0.0007
Fuzhou Jiangxi,China,Asia,1131718,1100271,0.0286
Shangrao,China,Asia,1130887,1106736,0.0218
Samarinda,Indonesia,Asia,1128176,1100324,0.0253
Bishkek,Kyrgyzstan,Asia,1127721,1104742,0.0208
Zhaoqing,China,Asia,1127601,1103202,0.0221
Yichun Jiangxi,China,Asia,1122041,1078630,0.0402
Chenzhou,China,Asia,1119791,1084969,0.0321
Leshan,China,Asia,1116497,1087409,0.0267
Aden,Yemen,Asia,1116193,1079670,0.0338
Goyang,South Korea,Asia,1114079,1105283,0.008
Diyarbakir,Turkey,Asia,1113333,1096937,0.0149
Dezhou,China,Asia,1108356,1080680,0.0256
Jingzhou Hubei,China,Asia,1108067,1089886,0.0167
Johor Bahru,Malaysia,Asia,1107001,1086214,0.0191
Kermanshah,Iran,Asia,1101611,1084623,0.0157
Kirkuk,Iraq,Asia,1100390,1074884,0.0237
Yerevan,Armenia,Asia,1097542,1094813,0.0025
Changshu,China,Asia,1093687,1059902,0.0319
Huzhou,China,Asia,1091811,1067651,0.0226
Xuchang,China,Asia,1091744,1063876,0.0262
Solapur,India,Asia,1088131,1070322,0.0166
Mersin,Turkey,Asia,1084817,1069402,0.0144
Tbilisi,Georgia,Asia,1084471,1082245,0.0021
Perm,Russia,Asia,1084120,1081768,0.0022
Voronezh,Russia,Asia,1083724,1080808,0.0027
Denpasar,Indonesia,Asia,1075244,1053041,0.0211
Qujing,China,Asia,1066897,1038964,0.0269
Yueyang,China,Asia,1064166,1048889,0.0146
Guiping,China,Asia,1055921,1020399,0.0348
Warangal,India,Asia,1055604,1031090,0.0238
Changwon,South Korea,Asia,1055373,1054442,0.0009
Padang,Indonesia,Asia,1052849,1033645,0.0186
Xintai,China,Asia,1049486,1023756,0.0251
Cebu City,Philippines,Asia,1042613,1024945,0.0172
Hamah,Syria,Asia,1034498,995747,0.0389
Kayseri,Turkey,Asia,1025507,1013240,0.0121
Chengde,China,Asia,1024521,993097,0.0316
Pingxiang Jiangxi,China,Asia,1021575,999721,0.0219
Zhucheng,China,Asia,1019600,991208,0.0286
Songkhla,Thailand,Asia,1017784,1005007,0.0127
Dehradun,India,Asia,1016402,991876,0.0247
Nonthaburi,Thailand,Asia,1013672,1000947,0.0127
Leiyang,China,Asia,1013191,978327,0.0356
Dushanbe,Tajikistan,Asia,1012794,986899,0.0262
Krasnodar,Russia,Asia,1010552,1001155,0.0094
Laiwu,China,Asia,1009727,986248,0.0238
Jixi Heilongjiang,China,Asia,1008989,993175,0.0159
Jiujiang,China,Asia,1004247,982777,0.0218
Sylhet,Bangladesh,Asia,999374,964291,0.0364
Volgograd,Russia,Asia,993352,995078,-0.0017
Mudanjiang,China,Asia,992414,975348,0.0175
Guigang,China,Asia,990310,967428,0.0237
Najaf,Iraq,Asia,987814,958487,0.0306
Rajshahi,Bangladesh,Asia,983707,961991,0.0226
Hengshui,China,Asia,983694,955663,0.0293
Jerusalem,Israel,Asia,983097,969804,0.0137
Zhangzhou,China,Asia,980054,955519,0.0257
Xinyu,China,Asia,979303,952278,0.0284
Linfen,China,Asia,978614,951822,0.0281
Tianmen,China,Asia,978317,953768,0.0257
Zamboanga City,Philippines,Asia,977081,960349,0.0174
Yangjiang,China,Asia,976606,956079,0.0215
Taiz,Yemen,Asia,974518,940600,0.0361
Liling,China,Asia,970907,936997,0.0362
Antipolo,Philippines,Asia,968288,946653,0.0229
Khulna,Bangladesh,Asia,965483,955104,0.0109
Deyang,China,Asia,963160,939166,0.0255
Pathum Thani,Thailand,Asia,962126,950048,0.0127
Bengbu,China,Asia,959784,944465,0.0162
Jiangyin,China,Asia,959250,933395,0.0277
Baishan,China,Asia,956976,927532,0.0317
Bogra,Bangladesh,Asia,944877,905814,0.0431
Bahawalpur,Pakistan,Asia,944812,919654,0.0274
Seongnam,South Korea,Asia,942159,941508,0.0007
Guntur,India,Asia,940205,918324,0.0238
Malang,Indonesia,Asia,933392,919443,0.0152
Dandong,China,Asia,932648,917936,0.016
Changzhi,China,Asia,930620,910743,0.0218
Bhiwandi,India,Asia,924670,906581,0.02
Ashgabat,Turkmenistan,Asia,921601,902353,0.0213
Puducherry,India,Asia,919280,897983,0.0237
Changde,China,Asia,919026,898338,0.023
Firozabad,India,Asia,918218,894388,0.0266
Erbil,Iraq,Asia,917639,896716,0.0233
Tyumen,Russia,Asia,916862,903815,0.0144
Liaoyang,China,Asia,916238,900692,0.0173
Shangqiu,China,Asia,915823,895111,0.0231
Ulsan,South Korea,Asia,914300,912734,0.0017
Kuerle,China,Asia,906765,875496,0.0357
Xingtai,China,Asia,904070,886381,0.02
Quzhou,China,Asia,902621,871457,0.0358
Cherthala,India,Asia,901820,870465,0.036
Huangshi,China,Asia,893107,876930,0.0184
Fuxin,China,Asia,889767,876131,0.0156
Hufuf Mubarraz,Saudi Arabia,Asia,884753,872438,0.0141
Yongzhou,China,Asia,883326,860522,0.0265
Xinghua,China,Asia,882986,861978,0.0244
Yibin,China,Asia,881480,864910,0.0192
Tainan,Taiwan,Asia,875392,869625,0.0066
Xinyang,China,Asia,873268,855191,0.0211
Ipoh,Malaysia,Asia,872424,857225,0.0177
Luzhou,China,Asia,870714,857683,0.0152
Yangquan,China,Asia,869585,851630,0.0211
Huaihua,China,Asia,869575,843754,0.0306
Xiaogan,China,Asia,869479,849580,0.0234
Tianshui,China,Asia,858672,837479,0.0253
Bozhou,China,Asia,854946,830125,0.0299
Kottayam,India,Asia,853635,818628,0.0428
Zhuji,China,Asia,852608,834782,0.0214
Kunshan,China,Asia,851399,826414,0.0302
Orumiyeh,Iran,Asia,848443,835900,0.015
